,C1,C2,C3,KO1,KO2,KO3
Klf13,36077,12007,49155,45927,33501,38089
Gnpda2,2055,1119,2902,3595,2404,2180
Dhx9,15727,6518,17402,21507,14820,18790
E030018B13Rik,0,0,0,0,0,0
Glis1,31,23,61,76,51,61
Pus10,927,434,1094,1463,1031,1095
Cstf2t,14532,6629,16134,20968,13996,14925
Siglecf,58,29,79,83,98,81
Prl8a6,0,0,0,0,0,0
Sub1,28374,12589,28842,43015,30763,30162
A1cf,0,0,3,0,0,0
Scarf2,968,392,1173,1446,904,934
Tnfaip8l1,1071,594,1287,1971,1422,1444
Creld2,1110,1018,1577,2127,1556,1224
Mydgf,4541,2098,5641,6687,4829,4608
Psmb9,161,82,215,271,223,121
Pim3,5922,2519,7381,7845,5953,6135
Tmem131l,1442,671,2061,2131,1747,1919
B830017H08Rik,572,276,650,826,693,665
Slc5a8,20,5,12,20,0,12
Fgd3,1191,517,1558,1526,1206,1172
Car15,471,221,564,733,481,601
Mup9,6,4,0,0,0,1
Phf20l1,7790,3569,8526,11722,8360,8764
Gm20518,381,209,358,308,361,286
Usp17la,15,17,39,27,14,19
Fam229b,746,366,919,1250,957,738
Tmco3,6191,2799,6678,7979,5911,6035
Senp7,4384,2376,4788,6475,4278,5133
Srpr,8817,4233,10121,12750,8569,9084
Rel,617,264,799,1012,677,781
Dmrtb1,123,64,99,184,160,237
Or52n3,0,0,2,0,0,0
Eci1,1738,871,2236,2789,2118,1608
Bnc1,2,0,0,3,0,2
Myo15b,16,7,49,35,24,19
Or52n2,0,0,0,0,0,0
Manf,5471,3538,5963,8126,5535,5411
Asah2,1899,824,2146,3053,1805,2097
Or52n2b,25,16,22,27,14,30
Ahrr,76,37,126,140,109,115
Mup1,0,0,0,0,0,0
Rabep2,1074,673,1370,1923,1338,1354
Dpp9,9559,4447,10954,13220,8756,11040
Akap9,10564,5216,12757,15536,9805,14510
Avpr2,11,0,3,14,1,7
Acsl1,8043,3300,8926,10208,7241,8349
Tex13c1,0,0,0,0,0,0
Ppp2r1b,1883,1240,2436,2812,1956,2157
Pcdh19,7813,3112,6957,11471,6899,10630
Tube1,287,114,295,348,221,339
Mup10,0,0,0,0,0,0
Npl,466,262,471,718,550,493
Mup11,0,0,0,0,0,0
Mast4,6032,2546,7558,8315,5875,7258
Dnase1l2,114,59,158,119,147,124
Dcaf12l2,254,95,266,303,264,245
Rtkn2,400,173,595,625,437,581
Dnah7c,221,138,311,447,320,262
Dcaf12l1,9031,3800,9222,12296,8095,10295
Mup12,0,0,0,0,0,0
Tnmd,107,62,108,224,111,91
Or52n2c,0,0,5,3,1,0
Siglecg,18,6,28,26,25,24
Dgcr2,19425,8569,22489,26950,18994,21376
Mup22,0,0,0,0,11,0
Mup13,0,0,0,0,0,0
Fem1a,10837,4812,12185,15019,10411,12321
Ttll8,62,26,94,75,59,104
Prr32,111,74,158,146,75,152
Ticam1,750,344,750,884,600,736
Slc39a10,35117,15766,36723,49930,31677,42592
Plin3,1764,874,2503,3422,2078,1816
Actrt1,0,0,0,0,0,0
Papolg,2602,1173,2903,3797,2654,3010
Tspan6,2021,1013,2336,3235,2089,2505
Or52n5,0,0,0,0,0,0
Arrdc5,0,0,0,0,0,0
Cyp51,11322,5744,13166,12581,10708,12554
Gm52993,0,0,0,0,0,0
Adgrb2,66595,30612,76485,89597,64319,76693
Tap1,431,162,514,583,525,440
Or52e18,1,2,6,0,3,3
Gm38999,0,1,0,0,0,0
Zfr,47099,22186,50677,68053,47014,54248
Or52e8,36,8,52,68,29,52
Or52e15,0,0,0,0,0,0
Lim2,0,0,0,0,0,0
Tfdp1,6287,3239,7002,8967,6577,7093
Sgms1,4496,2068,6002,6879,5007,5304
Hnrnpul1,14103,6060,15684,18765,14686,15209
Srpx2,161,67,203,218,138,124
Cspp1,1373,719,1680,2084,1488,1817
Gabrg1,3910,2016,4367,5803,4699,4495
Ccn6,5,6,18,11,8,21
A830031A19Rik,25,14,32,54,30,32
Arid5b,4542,2091,5528,6412,4022,5190
Med1,5668,2502,6411,8147,5795,6557
Tssk1,19,11,10,18,23,21
Tssk2,0,0,0,7,6,0
Impg2,55,28,54,102,51,62
Bnipl,12,11,21,15,17,17
Mterf1b,134,42,106,184,135,97
Fzd1,2406,1072,2717,3265,2100,2774
Naa10,2743,1313,3255,4034,2873,2968
Cabcoco1,163,72,207,312,151,181
Gabra2,7268,3486,10764,16962,6622,9566
Mlc1,24364,12512,29445,36826,27141,25171
Tmem26,34,33,48,19,12,45
Cd163,420,194,558,654,480,486
Atp4b,0,0,0,0,0,0
Rpl9-ps6,2587,1305,3767,3478,3276,2675
Cox7b2,14,9,43,6,17,20
Minpp1,10261,4571,12194,15194,10721,11130
Ano4,2742,1256,3120,3376,2388,3118
Gabra4,19123,7974,21876,28718,19633,20181
Grk1,73,121,67,71,67,115
Atp2a1,60,12,83,76,63,49
Ess2,3443,1413,3853,4629,3480,3755
Lipo4,0,1,0,5,0,0
Lipo3,961,437,1150,1389,881,893
Rbm15b,9627,4391,11111,12336,9835,10807
Psmb8,317,169,386,498,385,318
Mnd1,51,20,49,86,48,62
